,village_id,state_id,secc_pop,secc_pop_scaled,area,longitude,latitude,pop_density,pop_density_log2,pop_density_log2_int,pop_density_class,partition,l8_vis_path,s1_vis_path
0,442056,24,901,808.950003862381,6645771.44586042,68.6638730211098,23.7870092613097,135.57493021539628,7.082946617528343,7,6,train,l8_median_india_vis/l8_median_india_vis_500x500_442056.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442056.0.tif
1,442057,24,492,427.65000212192496,17056435.696639802,68.6998785991638,23.782465943109496,28.845416988083052,4.85027021397332,4,3,val,l8_median_india_vis/l8_median_india_vis_500x500_442057.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442057.0.tif
3,442059,24,288,249.200001597404,5765201.24114281,68.7715160698466,23.794030417550893,49.95489107036116,5.642554033715907,5,4,train,l8_median_india_vis/l8_median_india_vis_500x500_442059.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442059.0.tif
4,442060,24,548,476.600004315376,18002100.8706533,68.76487979283871,23.817556902898694,30.440891534684138,4.927938707139876,4,3,train,l8_median_india_vis/l8_median_india_vis_500x500_442060.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442060.0.tif
5,442061,24,972,846.250009655952,54886113.3836633,68.8344335791147,23.7891440049552,17.709397515643968,4.146443226458959,4,3,train,l8_median_india_vis/l8_median_india_vis_500x500_442061.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442061.0.tif
6,442062,24,342,295.65000331401797,7161983.00006795,68.89573764800029,23.784171716007105,47.752137920008366,5.577493420654544,5,4,train,l8_median_india_vis/l8_median_india_vis_500x500_442062.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442062.0.tif
7,442063,24,665,566.6500046253201,36717797.2186976,68.9430277686905,23.753042572211598,18.111108246476334,4.1788029245976475,4,3,train,l8_median_india_vis/l8_median_india_vis_500x500_442063.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442063.0.tif
8,442064,24,466,408.850003123283,6555194.2392628,68.91403341180761,23.7343207565765,71.0886638886854,6.1515476145704255,6,5,train,l8_median_india_vis/l8_median_india_vis_500x500_442064.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442064.0.tif
9,442065,24,516,444.600003600121,15438448.1862144,68.8881603156141,23.7536807158845,33.423048338547176,5.0627714148318805,5,4,train,l8_median_india_vis/l8_median_india_vis_500x500_442065.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442065.0.tif
13,442069,24,125,109.900000452995,6298542.02709593,68.6791708909095,23.757965052283893,19.845862655557095,4.310766369336217,4,3,train,l8_median_india_vis/l8_median_india_vis_500x500_442069.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442069.0.tif
14,442070,24,577,496.600004315376,9154738.75296928,68.6579417717396,23.7632029964956,63.02746758479086,5.977908791948197,5,4,train,l8_median_india_vis/l8_median_india_vis_500x500_442070.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442070.0.tif
15,442071,24,1788,1554.55001378059,16366323.4473525,68.63413210036471,23.716943560871396,109.24872685986394,6.771472657018558,6,5,train,l8_median_india_vis/l8_median_india_vis_500x500_442071.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442071.0.tif
16,442072,24,1162,999.950008869171,12554815.6445083,68.66198915947679,23.719718541810398,92.5541268706944,6.532225414352705,6,5,train,l8_median_india_vis/l8_median_india_vis_500x500_442072.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442072.0.tif
17,442073,24,498,435.650003194809,20750109.8474674,68.68902929411321,23.7121177576715,23.999872948180183,4.584954863324675,4,3,train,l8_median_india_vis/l8_median_india_vis_500x500_442073.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442073.0.tif
18,442074,24,7740,6816.7000566721,60348131.6407725,68.7431225473273,23.6884509611787,128.2558347634194,7.002880649858682,7,6,train,l8_median_india_vis/l8_median_india_vis_500x500_442074.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442074.0.tif
19,442075,24,1432,1239.3500112295199,25024824.0469017,68.7918463828102,23.718601673452703,57.2231795642653,5.838527757074058,5,4,train,l8_median_india_vis/l8_median_india_vis_500x500_442075.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442075.0.tif
21,442077,24,151,131.350000977516,6822568.78876834,68.8575870202383,23.727544263825997,22.13242616895031,4.468089703733373,4,3,train,l8_median_india_vis/l8_median_india_vis_500x500_442077.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442077.0.tif
22,442078,24,338,294.15000283718103,17099310.2148189,68.8599515072781,23.6969424071672,19.76687923393989,4.305013213343996,4,3,train,l8_median_india_vis/l8_median_india_vis_500x500_442078.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442078.0.tif
23,442079,24,2486,2177.150019288061,28036443.7218287,68.9006641405483,23.7069130918193,88.67030443181503,6.4703791236305905,6,5,train,l8_median_india_vis/l8_median_india_vis_500x500_442079.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442079.0.tif
24,442080,24,1041,895.950007200241,15663536.2162332,68.94556638891561,23.6955715840426,66.46008829865252,6.054416304678417,6,5,train,l8_median_india_vis/l8_median_india_vis_500x500_442080.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442080.0.tif
25,442081,24,213,186.00000107288398,10129254.1481958,69.0144323128242,23.7129008918925,21.028201769222964,4.394253577883958,4,3,train,l8_median_india_vis/l8_median_india_vis_500x500_442081.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442081.0.tif
27,442083,24,1357,1174.9500118494,13781119.9889407,68.89601794138541,23.6723072491556,98.46804912002709,6.621583770179358,6,5,train,l8_median_india_vis/l8_median_india_vis_500x500_442083.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442083.0.tif
28,442084,24,330,284.20000267028803,18863383.323684,68.79880691355271,23.6667873111767,17.494210573861743,4.1288056593296085,4,3,train,l8_median_india_vis/l8_median_india_vis_500x500_442084.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442084.0.tif
32,442088,24,706,635.7000049352649,9006582.09347419,68.5457524296313,23.6730988155318,78.38711651909989,6.292544651506318,6,5,train,l8_median_india_vis/l8_median_india_vis_500x500_442088.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442088.0.tif
36,442092,24,1449,1267.85000646114,23545431.0027302,68.7445678387488,23.6314847831074,61.54060207400671,5.943466653036148,5,4,train,l8_median_india_vis/l8_median_india_vis_500x500_442092.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442092.0.tif
37,442093,24,889,755.800004243851,24746373.9150698,68.79702481903689,23.616106524696498,35.924455156584614,5.166894371295677,5,4,train,l8_median_india_vis/l8_median_india_vis_500x500_442093.0.tif,s1_median_india_vis/s1_median_india_vis_500x500_442093.0.tif
